descriptions,General,User,lab_c
,General,DateTime,12/01/2026 11:08:27 a. m.
,General,Origin,"Software revision: dspacefoctest.sdf, dspacefoctest.ppc\nVariable description: dspacefoctest.sdf\n    Platform / Device: Platform [DS1104 R&D Controller Board, assigned to 'ds1104']\nControlDesk version: 25.1p1"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,5.097795534
,Measurement,StartTimestamp,6.157531738e-08
,Measurement,StopTimestamp,5.097795596
,Measurement,ReferenceTime,1768237707630163773
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,5100
trace_types,4,4,4,4,4,4,2,4,4,4
trace_names,,Ds,Qs,Out1[0],Out1[1],Out1[2],speed,Theta_e,Out1,Iq_ref
trace_units,,,,,,,,,,
devices,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService
description,,,,,,,,,,
displayidentifier,,,,,,,,,,
path,,Model Root/Current Control/Control_System/Closed Loop Control/Park Transform,Model Root/Current Control/Control_System/Closed Loop Control/Park Transform,Model Root/Current Control/HW/Volatges,Model Root/Current Control/HW/Volatges,Model Root/Current Control/HW/Volatges,Model Root/Current Control/Input Scaling/ Calculate Position and Speed,Model Root/Current Control/Input Scaling/ Calculate Position and Speed,Model Root/Speed Control/Id_ref,Model Root/Speed Control/PI_Controller_Speed
flags,,0,0,0,0,0,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
trace_values,0,-0.018335236738244387,0.010018466038773627,11.3983154296875,-0.384521484375,-11.8988037109375,35.65457,0.79103028574579426,0,-1.554585220184326
,0.00099977180366516111,-0.01956214023646213,0.0073398657400310235,10.235595703125,1.7578125,-12.9364013671875,35.55685,0.64990405326031464,0,-1.554012438354492
,0.0019995436073303222,-0.020427509234551028,0.0043900857827456931,8.8409423828125,3.851318359375,-13.6444091796875,35.53152,0.50264189762329536,0,-1.5533864826965329
,0.0029992753204345704,-0.020850452681781741,0.0013452237731772431,7.4493408203125,5.426025390625,-13.9007568359375,35.61464,0.35537974198627253,0,-1.5531850868225097
,0.0039990471240997309,-0.020822122683638741,-0.001728729524648448,6.109619140625,6.787109375,-13.8641357421875,35.72231,0.20811758634924971,0,-1.5534728901672361
,0.0049988189277648922,-0.020343136077740825,-0.0047652674883170354,4.78515625,8.0810546875,-13.6383056640625,35.83056,0.060855430712230429,0,-1.5542035317993161
,0.0059985907314300535,-0.019470624670851901,-0.0075793257569552602,2.9510498046875,9.28955078125,-13.1622314453125,35.90952,6.202914505406337,0,-1.5552048614501952
,0.0069983625350952148,-0.018179407022960357,-0.0102984770913648,0.8880615234375,10.687255859375,-12.39013671875,35.91499,6.0587203113450876,0,-1.5561300860595702
,0.0079980942481994617,-0.01658921058640633,-0.012702383338976359,-1.263427734375,11.87744140625,-11.419677734375,35.86511,5.9206620404353778,0,-1.556745406951904
,0.0089978660518646239,-0.014683234112353612,-0.014864502509159151,-3.497314453125,12.6983642578125,-10.015869140625,35.76107,5.7826037695256716,0,-1.5568461048889157
,0.0099976378555297844,-0.012497861808469917,-0.016743765381004576,-5.340576171875,13.1683349609375,-8.59375,35.63824,5.6445454986159653,0,-1.5564016049194334
,0.010997409659194947,-0.010018466038773665,-0.01833523673824437,-6.7596435546875,13.2110595703125,-7.2357177734375,35.55685,5.5034192661304857,0,-1.5556472012329099
,0.011997181462860107,-0.0073398657400310565,-0.019562140236462123,-8.0078125,13.0126953125,-5.8746337890625,35.50119,5.3622930336450061,0,-1.5547256323242185
,0.012996913175964355,-0.0045153204367721156,-0.020400080523284708,-9.2071533203125,12.5885009765625,-4.2449951171875,35.4657,5.2211668011595265,0,-1.5537415841674802
,0.013996684979629517,-0.0015370666414405345,-0.020837151826667594,-10.601806640625,11.9293212890625,-2.215576171875,35.49235,5.076972607098277,0,-1.5529720591735838
,0.014996456783294677,0.0015370158379166728,-0.020837170187074424,-11.8011474609375,10.955810546875,-0.0762939453125,35.56064,4.9297104514612542,0,-1.5525769111633299
,0.01599622858695984,0.0046403460744813612,-0.020371954021607117,-12.689208984375,9.600830078125,2.11181640625,35.68509,4.7793803342484615,0,-1.5527633518981931
,0.016996000390624998,0.0075793257569552949,-0.019470624670851887,-13.1927490234375,8.21533203125,4.083251953125,35.84451,4.6321181786114387,0,-1.5536255987548826
,0.017995732103729248,0.010354270873670607,-0.018147846484600071,-13.3270263671875,6.8145751953125,5.5572509765625,35.94783,4.4848560229744194,0,-1.5548517539978026
