Method,Ripple,Te_pp,w_pp,w_err,rmse_a,rmse_b,nmse_a,nmse_b
TRAP,6.06493640250234,0.375794789819402,0.495975295962808,0.000788521553644728,0.174334555344087,0.169489478281326,0.00525449006822936,0.00509272790819359
SIN,6.42727366808874,0.385984942720835,0.540139061303194,0.00367619409149711,0.118097416327739,0.118102417450087,0.00248755164369362,0.00237522280375758
LEARNED,1.88673708346791,0.135509868195076,0.0494732942694469,0.000421494700987068,0.060851510799847,0.0601760802212016,0.000679993402210032,0.000590551302731868
ADALINE_OFF,1.89737628418707,0.131848194640535,0.0656213322808554,0.000174459741572264,0.0601267639310893,0.0611652276406923,0.000663534077469001,0.000610362788018343
ADALINE_ON_T,2.35775369028115,0.233997445218961,0.122200041401058,0.00157178064334573,0.0731628445589698,0.078694785509224,0.000955597958355955,0.00103504297374394
ADALINE_ON_S,2.48174642684597,0.253798383456466,0.102240976335267,8.96186083423345e-05,0.0748025961872914,0.0754887121615327,0.000919369493136199,0.00104697674276462
