Method,Ripple,Te_pp,w_pp,w_err,rmse_a,rmse_b,nmse_a,nmse_b
TRAP,6.06493640250234,0.375794789819402,0.495975295962808,0.000788521553644728,0.174334555344087,0.169489478281326,0.00525449006822936,0.00509272790819359
SIN,6.42727366808874,0.385984942720835,0.540139061303194,0.00367619409149711,0.118097416327739,0.118102417450087,0.00248755164369362,0.00237522280375758
LEARNED,1.88673708346791,0.135509868195076,0.0494732942694469,0.000421494700987068,0.060851510799847,0.0601760802212016,0.000679993402210032,0.000590551302731868
ADALINE_OFF,1.89737628418707,0.131848194640535,0.0656213322808554,0.000174459741572264,0.0601267639310893,0.0611652276406923,0.000663534077469001,0.000610362788018343
ADALINE_ON_T,1.8819203098712,0.12831150497015,0.0586666348994243,0.000256531119447345,0.0604226316593188,0.0608765445179368,0.000659858111792553,0.00061293404593954
ADALINE_ON_S,1.87152306008676,0.141820848536599,0.0527823895566115,0.000573715207693226,0.0609190645697028,0.0607510311413436,0.000674686932583204,0.000606884211984565
